threshold,precision,recall,f1_score,balanced_accuracy
-0.0944104111547075,0.74375,1.0,0.8530465949820788,0.5
-0.09262386085828646,0.7531645569620253,1.0,0.8592057761732852,0.524390243902439
-0.0908373105618654,0.7579617834394905,1.0,0.8623188405797102,0.5365853658536586
-0.08905076026544437,0.7727272727272727,1.0,0.8717948717948718,0.573170731707317
-0.08726420996902333,0.7727272727272727,1.0,0.8717948717948718,0.573170731707317
-0.08547765967260229,0.7880794701986755,1.0,0.8814814814814815,0.6097560975609756
-0.08369110937618124,0.7933333333333333,1.0,0.8847583643122676,0.6219512195121951
-0.0819045590797602,0.8095238095238095,1.0,0.8947368421052632,0.6585365853658537
-0.08011800878333916,0.8206896551724138,1.0,0.9015151515151515,0.6829268292682926
-0.07833145848691811,0.8206896551724138,1.0,0.9015151515151515,0.6829268292682926
-0.07654490819049707,0.8321678321678322,1.0,0.9083969465648855,0.7073170731707317
-0.07475835789407603,0.85,1.0,0.918918918918919,0.7439024390243902
-0.07297180759765498,0.8561151079136691,1.0,0.9224806201550387,0.7560975609756098
-0.07118525730123394,0.8561151079136691,1.0,0.9224806201550387,0.7560975609756098
-0.0693987070048129,0.8561151079136691,1.0,0.9224806201550387,0.7560975609756098
-0.06761215670839185,0.8623188405797102,1.0,0.9260700389105059,0.7682926829268293
-0.06582560641197081,0.875,1.0,0.9333333333333333,0.7926829268292683
-0.06403905611554978,0.8814814814814815,1.0,0.937007874015748,0.8048780487804879
-0.06225250581912873,0.8947368421052632,1.0,0.9444444444444444,0.8292682926829269
-0.060465955522707684,0.9015151515151515,1.0,0.9482071713147411,0.8414634146341464
-0.058679405226286646,0.9015151515151515,1.0,0.9482071713147411,0.8414634146341464
-0.0568928549298656,0.9083969465648855,1.0,0.952,0.8536585365853658
-0.055106304633444556,0.9083969465648855,1.0,0.952,0.8536585365853658
-0.05331975433702352,0.9224806201550387,1.0,0.9596774193548387,0.8780487804878049
-0.05153320404060247,0.9224806201550387,1.0,0.9596774193548387,0.8780487804878049
-0.04974665374418143,0.9296875,1.0,0.9635627530364372,0.8902439024390244
-0.04796010344776039,0.9444444444444444,1.0,0.9714285714285714,0.9146341463414633
-0.04617355315133934,0.9444444444444444,1.0,0.9714285714285714,0.9146341463414633
-0.0443870028549183,0.9444444444444444,1.0,0.9714285714285714,0.9146341463414633
-0.04260045255849726,0.9444444444444444,1.0,0.9714285714285714,0.9146341463414633
-0.040813902262076214,0.952,1.0,0.9754098360655737,0.9268292682926829
-0.039027351965655176,0.967479674796748,1.0,0.9834710743801653,0.9512195121951219
-0.03724080166923413,0.967479674796748,1.0,0.9834710743801653,0.9512195121951219
-0.035454251372813085,0.9754098360655737,1.0,0.9875518672199171,0.9634146341463414
-0.03366770107639205,0.9754098360655737,1.0,0.9875518672199171,0.9634146341463414
-0.031881150779971,0.9754098360655737,1.0,0.9875518672199171,0.9634146341463414
-0.030094600483549963,0.9754098360655737,1.0,0.9875518672199171,0.9634146341463414
-0.02830805018712891,0.9754098360655737,1.0,0.9875518672199171,0.9634146341463414
-0.026521499890707873,0.9752066115702479,0.9915966386554622,0.9833333333333333,0.9592129534740725
-0.024734949594286834,0.9915966386554622,0.9915966386554622,0.9915966386554622,0.9836031973765116
-0.022948399297865796,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.021161849001444744,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.019375298705023705,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.017588748408602667,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.015802198112181615,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.014015647815760576,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.012229097519339538,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.010442547222918486,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.008655996926497447,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.006869446630076409,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.005082896333655357,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.0032963460372343184,1.0,0.9915966386554622,0.9957805907172996,0.9957983193277311
-0.00150979574081328,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.0002767545556077722,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.0020633048520288105,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.003849855148449849,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.005636405444870901,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.0074229557412919395,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.009209506037712978,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
