category,total_images,correctly_classified,incorrectly_classified,detection_rate,average_anomaly_score,minimum_anomaly_score,maximum_anomaly_score
thread_side,23,22,1,0.9565217391304348,0.05374268075665094,-0.0265885489725813,0.0794009824399173
good,41,41,0,1.0,-0.06729896867314865,-0.0944104111547075,-0.023005420399082
manipulated_front,24,24,0,1.0,0.050792169775024786,0.0342452936083038,0.0711711346954482
scratch_head,24,24,0,1.0,0.04221630784417002,0.0120109469385151,0.0664952320820271
scratch_neck,25,25,0,1.0,0.05238700848572395,0.0220218310158483,0.0824580681909757
thread_top,23,23,0,1.0,0.05619670369750219,0.0381446579546667,0.0756802130324229
