feature,importance
103,0.07302302869409213
33,0.05869069323053973
477,0.050122016490225574
130,0.042884466310808986
65,0.04073534953097058
91,0.03847861267641318
146,0.03827654168702871
510,0.037778690441825434
577,0.03776203331867317
489,0.03745765240610332
247,0.03597311483195337
519,0.03227554951762336
573,0.031511410785439724
269,0.030028106070360945
137,0.02968940633241134
288,0.029493384656923922
125,0.029340474099516883
131,0.028467369704833812
331,0.027965112115972055
132,0.027717526882217947
56,0.027461945559414443
270,0.026728273849557425
121,0.02631290336702184
122,0.025446635025538275
416,0.024030187645442798
138,0.023709000331533957
309,0.022328376012559558
126,0.022277892099981614
307,0.022163271146104693
267,0.021870975178911182
