,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
16,0.0,0.003255012167099224,367.0,56.0,423.0
173,0.013471065809866678,0.0012426746279344749,64.0,359.0,423.0
559,0.00551768763999938,0.0016470353715294214,165.0,259.0,424.0
576,0.00993192993926928,0.00141528448226053,102.0,323.0,425.0
272,0.0,0.0031925843674470954,367.0,59.0,426.0
210,0.0040283051403218195,0.0018034252399693367,197.0,229.0,426.0
359,0.004224680566829786,0.0017868489485280863,193.0,234.0,427.0
444,0.009901391096184486,0.0014043548069582897,103.0,324.0,427.0
337,0.0005069870364828866,0.00217675258806357,275.0,153.0,428.0
83,0.008094307798872213,0.0014640126756635926,123.0,305.0,428.0
100,0.0,0.0031702480050999353,367.0,61.0,428.0
318,0.0,0.003146378470989215,367.0,62.0,429.0
142,0.011943535436776731,0.001289782369933285,82.0,349.0,431.0
287,0.0,0.0030499496509946186,367.0,65.0,432.0
316,0.0,0.0030306027440525954,367.0,66.0,433.0
75,0.0,0.0030014771485955996,367.0,67.0,434.0
485,0.006446280234346569,0.001550133729272864,150.0,286.0,436.0
305,0.010246320443499712,0.001334257638402279,99.0,338.0,437.0
336,0.0,0.0029257264942743016,367.0,70.0,437.0
553,0.010459986679527411,0.0013192315381685034,96.0,342.0,438.0
430,0.0013665550619137434,0.002020210862196305,257.0,184.0,441.0
355,0.006465468908470884,0.0015085893901415045,148.0,296.0,444.0
365,0.0,0.0028405913225934935,367.0,79.0,446.0
176,0.002453466392325465,0.0018411726848651402,231.0,215.0,446.0
479,0.000855614676376959,0.0020664990894014965,269.0,177.0,446.0
542,0.012225852622730793,0.0012131056539102115,80.0,367.0,447.0
188,0.0,0.002822904137052546,367.0,81.0,448.0
304,0.0,0.002790405493179953,367.0,82.0,449.0
214,0.0,0.0027884652312396034,367.0,84.0,451.0
324,0.000554422570482549,0.002048201404537316,273.0,181.0,454.0
555,0.0,0.0027265588056802174,367.0,88.0,455.0
118,0.0026007966387096015,0.0017886052703315048,225.0,232.0,457.0
211,0.0015709664341356788,0.001882690463623455,253.0,205.0,458.0
123,0.00043397802547029407,0.0020523466565430626,278.0,180.0,458.0
107,0.0,0.0026916357824652948,367.0,91.0,458.0
368,0.004393911128919514,0.001584387447379542,189.0,272.0,461.0
54,0.0019780267287645703,0.0018318715898448664,243.0,218.0,461.0
