threshold,precision,recall,f1_score
0.1,0.12258064516129032,0.9047619047619048,0.2159090909090909
0.15,0.125,0.5714285714285714,0.20512820512820512
0.2,0.15,0.42857142857142855,0.2222222222222222
0.25,0.2222222222222222,0.38095238095238093,0.2807017543859649
0.3,0.2857142857142857,0.2857142857142857,0.2857142857142857
0.35,0.3333333333333333,0.23809523809523808,0.2777777777777778
0.4,0.625,0.23809523809523808,0.3448275862068966
0.45,0.6666666666666666,0.19047619047619047,0.2962962962962963
0.5,0.6666666666666666,0.09523809523809523,0.16666666666666666
