model,precision,recall,f1_score,roc_auc
Logistic Regression,0.0851063829787234,0.38095238095238093,0.1391304347826087,0.5857305379489679
Random Forest,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.760523321956769
